FECHA DOCUMENTO;COD. CLIENTE;VALOR PAGADO;FECHA PAGO;MÉTODO DE PAGO
10012026;1205101082;1716816;10/01/2026;CONSIGNACIÓN
10012026;1224193900;573700;10/01/2026;CONSIGNACIÓN
10012026;1200670517;1083895;10/01/2026;CONSIGNACIÓN
10012026;1224106565;2195907;10/01/2026;CONSIGNACIÓN
10012026;1224327212;737900;10/01/2026;CONSIGNACIÓN
10012026;1200570192;541868;10/01/2026;CONSIGNACIÓN
10012026;1210616607;313281;10/01/2026;CONSIGNACIÓN
10012026;1224043883;254900;10/01/2026;CONSIGNACIÓN
10012026;1201264756;247500;10/01/2026;CONSIGNACIÓN
10012026;1224477860;155400;10/01/2026;CONSIGNACIÓN
10012026;1201023416;107000;10/01/2026;CONSIGNACIÓN
10012026;1224086194;81600;10/01/2026;CONSIGNACIÓN
10012026;1210425746;52800;10/01/2026;CONSIGNACIÓN
10012026;1224113856;2971950;10/01/2026;CONSIGNACIÓN
10012026;1224157530;936300;10/01/2026;CONSIGNACIÓN
10012026;1210696523;692460;10/01/2026;CONSIGNACIÓN
10012026;1224355403;383733;10/01/2026;CONSIGNACIÓN
10012026;1224331892;2271000;10/01/2026;CONSIGNACIÓN
10012026;1210425746;2017600;10/01/2026;CONSIGNACIÓN
10012026;1205004677;1305749;10/01/2026;CONSIGNACIÓN
10012026;1224400739;1124279;10/01/2026;CONSIGNACIÓN
10012026;1224043915;1074300;10/01/2026;CONSIGNACIÓN
10012026;1201399462;1554267;10/01/2026;WALLET
10012026;1210481206;3577300;10/01/2026;WALLET
10012026;1224605769;439600;10/01/2026;WALLET
10012026;1202609947;1278024;10/01/2026;WALLET
10012026;1224517821;196416;10/01/2026;WALLET
10012026;1224424313;414859;10/01/2026;WALLET
10012026;1224095228;772788;10/01/2026;WALLET
10012026;1224550030;55000;10/01/2026;WALLET
10012026;1202483750;1456700;10/01/2026;WALLET
10012026;1210253473;562200;10/01/2026;WALLET
10012026;1210275162;202500;10/01/2026;WALLET
10012026;1200439625;99197;10/01/2026;WALLET
10012026;1224769845;250000;10/01/2026;WALLET
10012026;1224421484;1685000;10/01/2026;WALLET
10012026;1224049809;1061160;10/01/2026;WALLET
10012026;1201386180;69850;10/01/2026;CONSIGNACIÓN
10012026;1210274579;76300;10/01/2026;CONSIGNACIÓN
10012026;1210625375;1086800;10/01/2026;CONSIGNACIÓN
10012026;1201346424;271600;10/01/2026;CONSIGNACIÓN
10012026;1224030846;160704;10/01/2026;CONSIGNACIÓN
10012026;1224030846;223295;10/01/2026;CONSIGNACIÓN
10012026;1224030846;37500;10/01/2026;CONSIGNACIÓN
10012026;1224252381;387900;10/01/2026;CONSIGNACIÓN
10012026;1210488891;1894000;10/01/2026;TRANSFERENCIA
10012026;1200723872;145400;10/01/2026;CONSIGNACIÓN
10012026;1210425938;1155058;10/01/2026;CONSIGNACIÓN
10012026;1210196936;38688;10/01/2026;CONSIGNACIÓN
10012026;1201428762;929884;10/01/2026;CONSIGNACIÓN
10012026;1210196936;127500;10/01/2026;CONSIGNACIÓN
10012026;1224483658;563700;10/01/2026;CONSIGNACIÓN
10012026;1224191424;1396000;10/01/2026;CONSIGNACIÓN
10012026;1210156805;292100;10/01/2026;CONSIGNACIÓN
10012026;1224373793;3928218;10/01/2026;TRANSFERENCIA
10012026;1224695273;170400;10/01/2026;CONSIGNACIÓN
10012026;1210195317;283300;10/01/2026;CONSIGNACIÓN
10012026;1224079655;90000;10/01/2026;CONSIGNACIÓN
10012026;1200529010;163800;10/01/2026;CONSIGNACIÓN
10012026;1224621907;128500;10/01/2026;CONSIGNACIÓN
10012026;1224595030;931672;10/01/2026;CONSIGNACIÓN
10012026;1210283551;367800;10/01/2026;CONSIGNACIÓN
10012026;1224290538;1129968;10/01/2026;CONSIGNACIÓN
10012026;1210466801;282409;10/01/2026;CONSIGNACIÓN
10012026;1224103890;766400;10/01/2026;CONSIGNACIÓN
10012026;1224023928;314661;10/01/2026;WALLET
10012026;1200990015;123500;10/01/2026;WALLET
10012026;1224542514;683043;10/01/2026;WALLET
10012026;1224128122;375000;10/01/2026;WALLET
10012026;1224400226;786750;10/01/2026;WALLET
10012026;1224698181;620203;10/01/2026;WALLET
10012026;1224377214;4020500;10/01/2026;WALLET
10012026;1224452430;865300;10/01/2026;WALLET
10012026;1224566554;217500;10/01/2026;WALLET
10012026;1224536114;442600;10/01/2026;WALLET
10012026;1210703889;885000;10/01/2026;WALLET
10012026;1224351037;1089749;10/01/2026;WALLET
10012026;1224296949;1500000;10/01/2026;CONSIGNACIÓN
10012026;1224472956;1156000;10/01/2026;CONSIGNACIÓN
